
Respondent_ID,Age,Gender,City_Tier,Employment_Type,Monthly_Income_INR,Monthly_Expenses_INR,Savings_Percentage,Investment_Type,Has_Health_Insurance,Has_Life_Insurance,Has_Emergency_Fund,Debt_Status,Monthly_Debt_Payment_INR,Financial_Literacy_Score,Uses_Financial_Apps,Primary_Financial_Goal,Risk_Tolerance_Level,Savings_Channel,Region
1,59,Female,Tier 3,Salaried,35176,36206,12,Fixed Deposit,Yes,No,No,No Debt,16473,3,Yes,Home Purchase,Low,Digital Wallet,West
2,49,Male,Tier 1,Student,190458,138180,33,Fixed Deposit,Yes,Yes,No,Credit Card Debt,34019,6,Yes,Wealth Accumulation,Medium,Bank Account,South
3,35,Male,Tier 3,Salaried,78972,10287,43,Cryptocurrency,Yes,No,Yes,Personal Loan,42062,10,Yes,Retirement,Medium,Investment Platform,Central
4,28,Male,Tier 2,Salaried,135018,32337,32,Mutual Funds,Yes,Yes,Yes,No Debt,21087,1,Yes,Wealth Accumulation,Medium,Bank Account,North
5,41,Male,Tier 2,Student,187075,142233,10,Fixed Deposit,Yes,Yes,No,Personal Loan,49500,6,Yes,Wealth Accumulation,Medium,Bank Account,West
6,59,Male,Tier 2,Unemployed,34996,110667,20,Stocks,Yes,Yes,Yes,Credit Card Debt,28489,3,No,Wealth Accumulation,High,Bank Account,South
7,39,Female,Tier 3,Salaried,115922,100071,24,Stocks,Yes,No,Yes,Home Loan,36820,4,Yes,Business,Low,Bank Account,Central
8,43,Male,Tier 2,Salaried,101598,108064,20,Gold,Yes,Yes,Yes,Personal Loan,19325,9,Yes,Retirement,Low,Digital Wallet,South
9,31,Female,Tier 1,Self-Employed,50931,116511,11,Fixed Deposit,Yes,Yes,No,Home Loan,271,3,No,Business,Medium,Cash,North
10,31,Male,Tier 1,Unemployed,139168,13178,45,None,No,Yes,Yes,Credit Card Debt,18414,1,Yes,Home Purchase,Low,Investment Platform,Central
11,44,Female,Tier 3,Salaried,181782,41831,18,Cryptocurrency,Yes,No,No,Home Loan,24220,3,Yes,Home Purchase,Medium,Investment Platform,South
12,56,Female,Tier 1,Self-Employed,138099,143248,47,Mutual Funds,Yes,Yes,No,No Debt,44466,7,No,Education,Medium,Bank Account,East
13,44,Male,Tier 1,Unemployed,49693,113306,30,None,Yes,No,Yes,Home Loan,48657,7,Yes,Education,High,Cash,Central
14,23,Female,Tier 2,Student,181812,122025,30,Cryptocurrency,Yes,Yes,No,Personal Loan,42425,5,Yes,Home Purchase,High,Bank Account,Central
15,42,Male,Tier 2,Student,123944,100417,18,Stocks,No,No,No,Personal Loan,9387,1,Yes,Home Purchase,High,Digital Wallet,Central
16,22,Other,Tier 2,Self-Employed,32374,21984,11,None,Yes,No,No,Home Loan,49144,8,Yes,Business,Low,Cash,Central
17,44,Male,Tier 3,Student,96471,99312,37,Cryptocurrency,Yes,Yes,Yes,No Debt,11279,10,Yes,Home Purchase,High,Cash,East
18,50,Male,Tier 1,Salaried,60913,93291,30,Stocks,Yes,Yes,No,Credit Card Debt,27584,8,No,Retirement,Low,Cash,North
19,58,Male,Tier 1,Unemployed,138683,17135,49,Stocks,No,Yes,Yes,Home Loan,44783,10,Yes,Business,Medium,Cash,East
20,22,Other,Tier 1,Salaried,59516,10320,24,Stocks,Yes,Yes,No,Personal Loan,39809,10,Yes,Home Purchase,Medium,Bank Account,East
21,41,Female,Tier 3,Salaried,102796,98774,7,Stocks,Yes,Yes,Yes,Personal Loan,41476,10,Yes,Business,Low,Digital Wallet,South
22,53,Female,Tier 2,Student,41069,108071,8,Stocks,Yes,No,Yes,Home Loan,10857,2,No,Business,Medium,Cash,West
23,32,Male,Tier 1,Salaried,133333,119863,30,Gold,Yes,Yes,No,Home Loan,42261,10,No,Travel,Low,Investment Platform,West
24,42,Female,Tier 3,Student,99811,51777,15,None,Yes,No,No,Home Loan,8052,3,Yes,Education,Low,Investment Platform,South
25,45,Male,Tier 3,Unemployed,133028,56250,6,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,16995,4,No,Business,High,Digital Wallet,East
26,47,Female,Tier 3,Unemployed,54178,83034,18,Gold,No,No,Yes,Personal Loan,49901,1,No,Wealth Accumulation,Low,Investment Platform,South
27,48,Male,Tier 3,Salaried,47821,114940,48,Gold,No,Yes,Yes,Personal Loan,13580,4,Yes,Business,Low,Bank Account,Central
28,36,Male,Tier 1,Self-Employed,197799,50130,34,Fixed Deposit,Yes,Yes,No,Personal Loan,18240,5,Yes,Wealth Accumulation,Medium,Bank Account,South
29,35,Male,Tier 3,Student,31999,143609,16,Fixed Deposit,Yes,Yes,No,Credit Card Debt,17910,3,Yes,Travel,High,Digital Wallet,South
30,23,Male,Tier 2,Student,53712,25216,30,Fixed Deposit,Yes,Yes,No,No Debt,10216,10,No,Home Purchase,Low,Cash,Central
31,57,Female,Tier 3,Salaried,186244,94149,48,Mutual Funds,No,Yes,Yes,Personal Loan,38997,2,No,Business,Low,Investment Platform,West
32,27,Male,Tier 2,Student,48722,13009,37,Fixed Deposit,Yes,No,Yes,Personal Loan,46111,6,Yes,Travel,High,Investment Platform,Central
33,41,Female,Tier 3,Student,25625,99904,17,Cryptocurrency,No,No,No,No Debt,24911,8,Yes,Retirement,Low,Digital Wallet,North
