date,amount,income,food,transport,shopping,savings,budget,month,day,is_overspent,category_Bills & Utilities,category_Dining Out,category_Education,category_Entertainment,category_Food & Dining,category_Groceries,category_Healthcare,category_Insurance,category_Investments,category_Rent,category_Shopping,category_Transport,category_Transportation,category_Travel,category_Utilities,payment_method_Cash,payment_method_Credit (Amex),payment_method_Credit (Discover),payment_method_Credit (Mastercard),payment_method_Credit (Visa),payment_method_Credit Card,payment_method_Debit (Mastercard),payment_method_Debit (Prepaid) (Mastercard),payment_method_Debit (Prepaid) (Visa),payment_method_Debit (Visa),payment_method_Debit Card,payment_method_Mobile Wallet,payment_method_Net Banking,payment_method_UPI,day_type_Weekday,day_type_Weekend,cluster
1991-01-01,907.65,13560.0,226.91,90.76,272.29,2284.59,10170.0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
1991-07-01,1122.15,14081.2,280.54,112.22,336.65,1974.6,10560.9,7,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1991-12-01,366.3,2920.0,91.58,36.63,109.89,640.49,2190.0,12,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2
1992-11-01,170.66,1253.6,42.66,17.07,51.2,142.04,940.2,11,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
1992-12-01,97.35,1360.0,24.34,9.74,29.2,163.2,1020.0,12,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2
1993-03-01,484.72,3637.6,121.18,48.47,145.42,215.05,2728.2,3,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1993-04-01,418.48,4120.0,104.62,41.85,125.54,572.09,3090.0,4,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
1993-09-01,323.4,4888.0,80.85,32.34,97.02,493.12,3666.0,9,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2
1994-01-01,236.36,4640.0,59.09,23.64,70.91,507.28,3480.0,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2
1994-04-01,273.25,2960.0,68.31,27.33,81.98,218.22,2220.0,4,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
1994-04-01,169.49,1700.8,42.37,16.95,50.85,199.49,1275.6,4,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1994-04-01,79.9,605.2,19.98,7.99,23.97,96.43,453.9,4,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2
1994-04-01,628.69,6317.2,157.17,62.87,188.61,922.16,4737.9,4,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1994-04-01,700.36,6128.8,175.09,70.04,210.11,1192.49,4596.6,4,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2
1994-08-01,556.23,4240.0,139.06,55.62,166.87,876.86,3180.0,8,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2
1994-09-01,24.43,362.4,6.11,2.44,7.33,32.91,271.8,9,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1994-11-01,849.92,7982.0,212.48,84.99,254.98,1176.07,5986.5,11,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1994-12-01,4.06,37.6,1.01,0.41,1.22,6.9,28.2,12,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2
1995-01-01,1104.84,7979.2,276.21,110.48,331.45,899.86,5984.4,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
1995-01-01,715.48,6560.0,178.87,71.55,214.64,756.26,4920.0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2
1995-08-01,516.04,5671.2,129.01,51.6,154.81,564.37,4253.4,8,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1995-09-01,217.31,3200.0,54.33,21.73,65.19,556.29,2400.0,9,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
1995-09-01,355.04,2760.0,88.76,35.5,106.51,548.67,2070.0,9,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2
1995-11-01,503.73,5786.4,125.93,50.37,151.12,737.92,4339.8,11,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1996-02-01,176.47,2720.0,44.12,17.65,52.94,471.1,2040.0,2,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
1996-02-01,390.06,8896.8,97.52,39.01,117.02,850.49,6672.6,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1996-04-01,1309.27,9363.2,327.32,130.93,392.78,1455.5,7022.4,4,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1996-05-01,214.72,3133.6,53.68,21.47,64.42,206.48,2350.2,5,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1996-05-01,914.07,8127.2,228.52,91.41,274.22,800.82,6095.4,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2
1996-06-01,1050.83,9392.4,262.71,105.08,315.25,2012.81,7044.3,6,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
1996-08-01,31.3,250.0,7.82,3.13,9.39,47.07,187.5,8,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1996-08-01,67.57,1366.0,16.89,6.76,20.27,278.29,1024.5,8,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2
1996-09-01,384.87,5411.6,96.22,38.49,115.46,1060.07,4058.7,9,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
1996-09-01,1.64,18.4,0.41,0.16,0.49,2.31,13.8,9,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,2
1996-10-01,262.92,5240.0,65.73,26.29,78.88,946.42,3930.0,10,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2
1996-10-01,555.62,7760.0,138.9,55.56,166.69,1358.25,5820.0,10,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
1996-11-01,438.75,3959.2,109.69,43.88,131.62,424.89,2969.4,11,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1996-11-01,517.86,5040.0,129.46,51.79,155.36,947.41,3780.0,11,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
1996-12-01,272.73,4929.2,68.18,27.27,81.82,547.18,3696.9,12,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
1996-12-01,248.58,4732.8,62.14,24.86,74.57,697.9,3549.6,12,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
1997-01-01,812.15,8753.2,203.04,81.22,243.64,1661.56,6564.9,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2
1997-01-01,366.26,7775.6,91.56,36.63,109.88,1474.69,5831.7,1,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
1997-02-01,554.4,6869.2,138.6,55.44,166.32,1486.78,5151.9,2,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
1997-03-01,1289.73,9783.6,322.43,128.97,386.92,1456.08,7337.7,3,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
1997-03-01,452.2,3360.0,113.05,45.22,135.66,506.7,2520.0,3,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2
1997-03-01,770.52,5746.4,192.63,77.05,231.16,656.45,4309.8,3,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
1997-03-01,356.27,6280.0,89.07,35.63,106.88,326.07,4710.0,3,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2
